date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:02	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Apr%202019%2019:27:02%20GMT	http://adventurethemes.com/demo/writer/html/v3	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3.0.delayed	(from )
14:27:04	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c3e4500-247b%22	http://adventurethemes.com/robots.txt		(from )
14:27:04	14816/14816	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-39e0%22	http://adventurethemes.com/demo/writer/html/v3/	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/index.html	(from )
14:27:04	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%2259a2e105-1e822%22	http://adventurethemes.com/demo/writer/html/v3/css/bootstrap.min.css	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/css/bootstrap.min.css	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:06	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2259a2e105-5cbb%22	http://adventurethemes.com/demo/writer/html/v3/css/font-awesome.min.css	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/css/font-awesome.min.css	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:06	40423/40423	---MCZ	200	added ('OK')	text/css	etag:W/%2259a2e105-9de7%22	http://adventurethemes.com/demo/writer/html/v3/css/main.css	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/css/main.css	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:07	8685/8685	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259a2e105-21ed%22	http://adventurethemes.com/demo/writer/html/v3/js/vendor/modernizr.custom.32229-2.8-respondjs-1-4-2.js	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/js/vendor/modernizr.custom.32229-2.8-respondjs-1-4-2.js	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:08	14816/14816	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-39e0%22	http://adventurethemes.com/demo/writer/html/v3/index.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/index-2.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:09	8379/8379	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-20bb%22	http://adventurethemes.com/demo/writer/html/v3/author.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/author.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:10	5762/5762	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-1682%22	http://adventurethemes.com/demo/writer/html/v3/page.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/page.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:11	7220/7220	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-1c34%22	http://adventurethemes.com/demo/writer/html/v3/favorites.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/favorites.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:12	6320/6320	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-18b0%22	http://adventurethemes.com/demo/writer/html/v3/contact.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/contact.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:13	12126/12126	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-2f5e%22	http://adventurethemes.com/demo/writer/html/v3/post.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/post.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:14	12118/12118	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-2f56%22	http://adventurethemes.com/demo/writer/html/v3/post-sidebar.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/post-sidebar.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:15	11595/11595	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-2d4b%22	http://adventurethemes.com/demo/writer/html/v3/alt-home.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/alt-home.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:16	5982/5982	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-175e%22	http://adventurethemes.com/demo/writer/html/v3/category.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/category.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:17	4987/4987	---M--	200	added ('OK')	image/jpeg	etag:%2259a2e105-137b%22	http://adventurethemes.com/demo/writer/html/v3/img/profile-1.jpg	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/profile-1.jpg	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:18	6546/6546	---M--	200	added ('OK')	image/jpeg	etag:%2259a2e105-1992%22	http://adventurethemes.com/demo/writer/html/v3/img/profile-2.jpg	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/profile-2.jpg	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:19	4854/4854	---M--	200	added ('OK')	image/jpeg	etag:%2259a2e105-12f6%22	http://adventurethemes.com/demo/writer/html/v3/img/profile-4.jpg	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/profile-4.jpg	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:20	5755/5755	---M--	200	added ('OK')	image/png	etag:%2259a2e105-167b%22	http://adventurethemes.com/demo/writer/html/v3/img/profile-5.png	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/profile-5.png	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:21	13750/13750	---MCZ	200	added ('OK')	text/html	etag:W/%2259a2e105-35b6%22	http://adventurethemes.com/demo/writer/html/v3/components.html	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/components.html	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:22	3589/3589	---M--	200	added ('OK')	image/jpeg	etag:%2259a2e105-e05%22	http://adventurethemes.com/demo/writer/html/v3/img/profile-3.jpg	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/profile-3.jpg	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:34	95491/95491	---M--	200	added ('OK')	image/jpeg	etag:%2259a2e105-17503%22	http://adventurethemes.com/demo/writer/html/v3/img/cover-2.jpg	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/cover-2.jpg	(from http://adventurethemes.com/demo/writer/html/v3/)
14:27:38	62276/62276	---M--	200	added ('OK')	image/jpeg	etag:%2259a2e105-f344%22	http://adventurethemes.com/demo/writer/html/v3/img/cover-6.jpg	/Users/michaelbrowne/Actualize/template_download/adventurethemes.com/demo/writer/html/v3/img/cover-6.jpg	(from http://adventurethemes.com/demo/writer/html/v3/)
